=== FINDINGS ===
[catch-all] apps/studio/src/store.ts:163 -- bare catch-all with no rethrow/reject/error-return/logging in body
[console-only-error] packages/render-mount/src/mount.ts:111 -- console.error with no UI feedback in surrounding context
[fire-and-forget] apps/studio/src/App.svelte:155 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:159 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:175 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:188 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:189 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:191 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:210 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:219 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:222 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:224 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:237 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:245 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:302 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:303 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:366 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:382 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:383 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:397 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:404 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:409 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:414 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:415 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:416 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:423 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] apps/studio/src/App.svelte:674 -- await with no try/catch or .catch() in nearby context
